"","day","startName","endName","startX","startY","endX","endY","od"
"37120",5,"10号线交通大学","2号线静安寺",121.4306649,31.2041254,121.4436032,31.22599777,112
"37121",5,"10号线交通大学","8号线人民广场",121.4306649,31.2041254,121.4703067,31.23632887,135
"37122",5,"10号线交通大学","8号线沈杜公路",121.4306649,31.2041254,121.5081714,31.0605003,139
"37123",5,"10号线交通大学","8号线老西门",121.4306649,31.2041254,121.4785375,31.22078678,140
"37124",5,"10号线交通大学","8号线虹口足球场",121.4306649,31.2041254,121.4749533,31.27188514,107
"37125",5,"10号线交通大学","9号线徐家汇",121.4306649,31.2041254,121.4354338,31.19793613,121
"37126",5,"10号线交通大学","9号线打浦桥",121.4306649,31.2041254,121.4638882,31.2071756,130
"37127",5,"10号线伊犁路","10号线上海动物园",121.3994946,31.20060017,121.3634113,31.1920777,102
"37128",5,"10号线伊犁路","10号线上海图书馆",121.3994946,31.20060017,121.4397098,31.21001651,110
"37129",5,"10号线伊犁路","10号线交通大学",121.3994946,31.20060017,121.4306649,31.2041254,141
"37130",5,"10号线伊犁路","10号线南京东路",121.3994946,31.20060017,121.4804801,31.23953637,108
"37131",5,"10号线伊犁路","10号线新天地",121.3994946,31.20060017,121.4698192,31.218036,142
"37132",5,"10号线伊犁路","10号线水城路",121.3994946,31.20060017,121.3876161,31.2012235,148
"37133",5,"10号线伊犁路","10号线航中路",121.3994946,31.20060017,121.349164,31.1671342,108
"37134",5,"10号线伊犁路","10号线豫园",121.3994946,31.20060017,121.4830342,31.2297039,125
"37135",5,"10号线伊犁路","10号线陕西南路",121.3994946,31.20060017,121.4552565,31.2189174,229
"37136",5,"10号线伊犁路","10号线龙柏新村",121.3994946,31.20060017,121.3661584,31.1792881,176
"37137",5,"10号线伊犁路","2号线徐泾东",121.3994946,31.20060017,121.2971092,31.1914812,109
"37138",5,"10号线伊犁路","2号线虹桥火车站",121.3994946,31.20060017,121.3161005,31.1963569,223
"37139",5,"10号线南京东路","10号线上海动物园",121.4804801,31.23953637,121.3634113,31.1920777,113
"37140",5,"10号线南京东路","10号线上海图书馆",121.4804801,31.23953637,121.4397098,31.21001651,140
"37141",5,"10号线南京东路","10号线五角场",121.4804801,31.23953637,121.5100904,31.2997294,344
"37142",5,"10号线南京东路","10号线交通大学",121.4804801,31.23953637,121.4306649,31.2041254,187
"37143",5,"10号线南京东路","10号线南京东路",121.4804801,31.23953637,121.4804801,31.23953637,217
"37144",5,"10号线南京东路","10号线同济大学",121.4804801,31.23953637,121.5020918,31.2844081,344
"37145",5,"10号线南京东路","10号线四川北路",121.4804801,31.23953637,121.479494,31.2537048,170
"37146",5,"10号线南京东路","10号线国权路",121.4804801,31.23953637,121.5056173,31.2912473,235
"37147",5,"10号线南京东路","10号线天潼路",121.4804801,31.23953637,121.4778324,31.2457632,158
"37148",5,"10号线南京东路","10号线宋园路",121.4804801,31.23953637,121.4078985,31.1983218,123
"37149",5,"10号线南京东路","10号线新天地",121.4804801,31.23953637,121.4698192,31.218036,308
"37150",5,"10号线南京东路","10号线水城路",121.4804801,31.23953637,121.3876161,31.2012235,115
"37151",5,"10号线南京东路","10号线江湾体育场",121.4804801,31.23953637,121.5096602,31.30502845,420
"37152",5,"10号线南京东路","10号线海伦路",121.4804801,31.23953637,121.4841905,31.26068247,186
"37153",5,"10号线南京东路","10号线航中路",121.4804801,31.23953637,121.349164,31.1671342,184
"37154",5,"10号线南京东路","10号线虹桥路",121.4804801,31.23953637,121.416289,31.19893712,156
"37155",5,"10号线南京东路","10号线豫园",121.4804801,31.23953637,121.4830342,31.2297039,329
"37156",5,"10号线南京东路","10号线邮电新村",121.4804801,31.23953637,121.4898295,31.2703982,190
"37157",5,"10号线南京东路","10号线陕西南路",121.4804801,31.23953637,121.4552565,31.2189174,347
"37158",5,"10号线南京东路","10号线龙柏新村",121.4804801,31.23953637,121.3661584,31.1792881,182
"37159",5,"10号线南京东路","10号线龙溪路",121.4804801,31.23953637,121.3750205,31.1958824,110
"37160",5,"10号线南京东路","11号线南翔",121.4804801,31.23953637,121.3187634,31.29870644,145
"37161",5,"10号线南京东路","11号线嘉定北",121.4804801,31.23953637,121.2365451,31.3956097,127
"37162",5,"10号线南京东路","11号线桃浦新村",121.4804801,31.23953637,121.3459075,31.2833109,104
"37163",5,"10号线南京东路","12号线江浦公园",121.4804801,31.23953637,121.5194054,31.26669134,115
"37164",5,"10号线南京东路","12号线金海路",121.4804801,31.23953637,121.6344144,31.26530137,152
"37165",5,"10号线南京东路","13号线金运路",121.4804801,31.23953637,121.31546,31.2428887,110
"37166",5,"10号线南京东路","16号线周浦东",121.4804801,31.23953637,121.602679,31.1123255,101
"37167",5,"10号线南京东路","16号线惠南",121.4804801,31.23953637,121.7581746,31.0559827,132
"37168",5,"10号线南京东路","1号线上海南站",121.4804801,31.23953637,121.4240022,31.1581931,141
"37169",5,"10号线南京东路","1号线上海火车站",121.4804801,31.23953637,121.4527543,31.25192265,164
"37170",5,"10号线南京东路","1号线人民广场",121.4804801,31.23953637,121.4703067,31.23632887,242
"37171",5,"10号线南京东路","1号线彭浦新村",121.4804801,31.23953637,121.4441793,31.3075135,143
"37172",5,"10号线南京东路","1号线徐家汇",121.4804801,31.23953637,121.4311714,31.19717957,158
"37173",5,"10号线南京东路","1号线莘庄",121.4804801,31.23953637,121.3806639,31.113152,286
"37174",5,"10号线南京东路","1号线莲花路",121.4804801,31.23953637,121.3982765,31.1328416,236
"37175",5,"10号线南京东路","1号线通河新村",121.4804801,31.23953637,121.4370164,31.3328002,110
"37176",5,"10号线南京东路","1号线锦江乐园",121.4804801,31.23953637,121.4095039,31.1440768,112
"37177",5,"10号线南京东路","1号线陕西南路",121.4804801,31.23953637,121.4552565,31.2189174,122
"37178",5,"10号线南京东路","2号线上海科技馆",121.4804801,31.23953637,121.5386617,31.2218914,159
"37179",5,"10号线南京东路","2号线世纪公园",121.4804801,31.23953637,121.5462327,31.2127321,187
"37180",5,"10号线南京东路","2号线东昌路",121.4804801,31.23953637,121.510234,31.2355291,355
"37181",5,"10号线南京东路","2号线中山公园",121.4804801,31.23953637,121.4110376,31.21979337,427
"37182",5,"10号线南京东路","2号线北新泾",121.4804801,31.23953637,121.370828,31.2181847,139
"37183",5,"10号线南京东路","2号线华夏东路",121.4804801,31.23953637,121.6797108,31.2007651,128
